num_corre,dia_ocu,ano_ocu,hora_ocu,mes_ocu,dia_sem_ocu,mupio_ocu,depto_ocu,area_geo_ocu,sexo_per,zona_ocu,edad_per,estado_con,mayor_menor,tipo_veh,marca_veh,color_veh,modelo_veh,tipo_eve,g_edad_80ymas,g_edad_60ymas,edad_quinquenales,g_hora,g_hora_5,g_modelo_veh,anio
151,7,2016,8,1,4,403,4,2,1,99,38,1,1,3,69,9,1989,1,6,6,8,2,1,2,2016
152,7,2016,8,1,4,403,4,2,1,99,48,1,1,3,69,3,1987,1,8,8,10,2,1,2,2016
153,8,2016,11,1,5,105,1,2,1,99,24,9,1,1,52,4,2002,1,3,3,5,2,1,4,2016
154,8,2016,11,1,5,105,1,2,1,99,30,9,1,3,48,1,1998,1,5,5,7,2,1,3,2016
155,8,2016,0,1,5,101,1,1,9,18,999,9,9,2,48,3,2003,2,16,12,18,1,1,4,2016
156,8,2016,17,1,5,101,1,1,1,18,21,9,1,4,67,99,2000,1,3,3,5,3,2,4,2016
157,8,2016,17,1,5,101,1,1,1,18,999,9,1,12,30,99,1996,1,16,12,18,3,2,3,2016
158,8,2016,14,1,5,117,1,1,2,99,37,9,1,4,999,99,9999,1,6,6,8,3,2,6,2016
159,8,2016,14,1,5,117,1,1,9,99,999,9,9,1,999,99,9999,1,16,12,18,3,2,6,2016
160,8,2016,22,1,5,117,1,1,1,99,21,9,1,4,999,99,9999,4,3,3,5,4,3,6,2016
161,8,2016,19,1,5,1901,19,2,1,99,28,9,1,12,50,2,9999,1,4,4,6,4,3,6,2016
162,8,2016,19,1,5,1901,19,2,1,99,59,9,1,9,69,1,9999,1,10,10,12,4,3,6,2016
163,8,2016,12,1,5,1903,19,2,9,99,999,9,9,1,999,99,9999,1,16,12,18,3,2,6,2016
164,8,2016,12,1,5,1903,19,2,2,99,27,9,1,4,999,99,9999,1,4,4,6,3,2,6,2016
165,8,2016,14,1,5,502,5,2,1,99,999,1,1,6,999,99,9999,1,16,12,18,3,2,6,2016
166,8,2016,14,1,5,502,5,2,1,99,45,9,1,4,999,99,9999,1,8,8,10,3,2,6,2016
167,8,2016,20,1,5,1003,10,1,1,99,18,2,1,14,999,1,9999,1,2,2,4,4,3,6,2016
168,8,2016,20,1,5,1003,10,1,9,99,999,9,9,5,999,99,9999,1,16,12,18,4,3,6,2016
169,8,2016,23,1,5,901,9,1,1,99,45,9,1,11,10,7,9999,2,8,8,10,4,3,6,2016
170,8,2016,23,1,5,901,9,1,9,99,999,9,9,5,31,2,1987,2,16,12,18,4,3,2,2016
171,8,2016,18,1,5,203,2,2,1,99,42,9,1,2,56,5,9999,1,7,7,9,4,3,6,2016
172,8,2016,18,1,5,203,2,2,1,99,999,9,1,5,30,7,9999,1,16,12,18,4,3,6,2016
173,8,2016,22,1,5,1416,14,1,1,99,29,9,1,1,48,3,9999,2,4,4,6,4,3,6,2016
174,8,2016,13,1,5,1415,14,1,1,99,999,9,1,5,999,2,9999,1,16,12,18,3,2,6,2016
175,8,2016,13,1,5,1415,14,1,1,99,17,9,2,4,999,5,9999,1,2,2,4,3,2,6,2016
176,9,2016,0,1,6,101,1,1,1,1,25,9,1,1,69,4,2006,1,4,4,6,1,1,4,2016
177,9,2016,0,1,6,101,1,1,1,1,21,9,1,2,999,5,9999,1,3,3,5,1,1,6,2016
178,9,2016,13,1,6,101,1,1,1,9,22,9,1,9,69,4,1991,1,3,3,5,3,2,3,2016
179,9,2016,13,1,6,101,1,1,1,9,35,9,1,4,27,99,2006,1,6,6,8,3,2,4,2016
180,9,2016,4,1,6,101,1,1,2,6,32,2,1,4,32,5,9999,2,5,5,7,1,1,6,2016
181,9,2016,4,1,6,101,1,1,9,6,999,9,9,1,52,4,9999,2,16,12,18,1,1,6,2016
182,9,2016,2,1,6,101,1,1,1,6,60,9,1,1,48,1,9999,1,11,11,13,1,1,6,2016
183,9,2016,2,1,6,101,1,1,1,6,33,9,1,4,67,4,9999,1,5,5,7,1,1,6,2016
184,9,2016,21,1,6,101,1,1,1,5,22,9,1,4,27,1,9999,1,3,3,5,4,3,6,2016
185,9,2016,21,1,6,101,1,1,1,5,20,9,1,4,999,99,9999,1,3,3,5,4,3,6,2016
186,9,2016,23,1,6,101,1,1,1,7,21,2,1,12,999,1,9999,1,3,3,5,4,3,6,2016
187,9,2016,23,1,6,101,1,1,9,7,999,9,9,1,31,4,9999,1,16,12,18,4,3,6,2016
188,9,2016,23,1,6,101,1,1,9,7,999,9,9,1,56,4,9999,1,16,12,18,4,3,6,2016
189,9,2016,23,1,6,101,1,1,1,7,30,9,1,1,999,2,2012,1,5,5,7,4,3,5,2016
190,9,2016,23,1,6,101,1,1,1,7,30,9,1,10,69,2,2012,1,5,5,7,4,3,5,2016
191,9,2016,23,1,6,101,1,1,9,7,999,9,9,1,41,2,9999,1,16,12,18,4,3,6,2016
192,9,2016,23,1,6,101,1,1,9,7,999,9,9,1,52,1,9999,1,16,12,18,4,3,6,2016
193,9,2016,23,1,6,112,1,2,1,99,26,2,1,4,25,6,2015,1,4,4,6,4,3,5,2016
194,9,2016,7,1,6,112,1,2,1,99,999,1,1,4,999,1,2015,1,16,12,18,2,1,5,2016
195,9,2016,18,1,6,606,6,2,1,99,52,2,1,1,28,2,2015,2,9,9,11,4,3,5,2016
196,9,2016,21,1,6,602,6,2,1,99,30,1,1,5,17,2,1995,1,5,5,7,4,3,3,2016
197,9,2016,21,1,6,602,6,2,1,99,29,2,1,11,52,2,2007,1,4,4,6,4,3,4,2016
198,9,2016,0,1,6,1001,10,1,1,99,33,9,1,4,67,1,9999,1,5,5,7,1,1,6,2016
199,9,2016,0,1,6,1001,10,1,9,99,999,9,9,1,73,1,9999,1,16,12,18,1,1,6,2016
200,9,2016,17,1,6,922,9,2,1,99,31,9,1,3,69,2,2010,1,5,5,7,3,2,5,2016
201,9,2016,17,1,6,922,9,2,1,99,16,9,2,4,6,1,2010,1,2,2,4,3,2,5,2016
202,9,2016,3,1,6,1217,12,2,1,99,28,2,1,4,27,5,2006,1,4,4,6,1,1,4,2016
203,9,2016,3,1,6,1217,12,2,1,99,46,9,1,6,19,2,9999,1,8,8,10,1,1,6,2016
204,9,2016,10,1,6,1217,12,1,1,99,20,9,1,4,999,5,9999,4,3,3,5,2,1,6,2016
205,9,2016,16,1,6,1302,13,2,1,99,34,9,1,3,69,1,1989,1,5,5,7,3,2,2,2016
206,9,2016,16,1,6,1302,13,2,1,99,32,9,1,4,27,2,2015,1,5,5,7,3,2,5,2016
207,9,2016,7,1,6,1710,17,2,1,99,24,9,1,4,27,5,2015,4,3,3,5,2,1,5,2016
208,9,2016,18,1,6,308,3,2,1,99,71,9,1,2,67,2,1988,1,13,11,15,4,3,2,2016
209,9,2016,18,1,6,308,3,2,1,99,45,9,1,1,52,2,2002,1,8,8,10,4,3,4,2016
210,10,2016,1,1,7,101,1,1,1,9,30,9,1,4,999,99,9999,2,5,5,7,1,1,6,2016
211,10,2016,3,1,7,101,1,1,2,21,27,9,1,1,28,1,2009,1,4,4,6,1,1,4,2016
212,10,2016,3,1,7,101,1,1,1,21,19,9,1,4,999,4,2014,1,2,2,4,1,1,5,2016
213,10,2016,2,1,7,101,1,1,1,11,47,9,1,4,6,1,9999,1,8,8,10,1,1,6,2016
214,10,2016,2,1,7,101,1,1,9,11,999,9,9,1,999,99,9999,1,16,12,18,1,1,6,2016
215,10,2016,19,1,7,101,1,1,1,11,39,9,1,1,69,3,9999,1,6,6,8,4,3,6,2016
216,10,2016,19,1,7,101,1,1,1,11,32,9,1,1,28,2,9999,1,5,5,7,4,3,6,2016
217,10,2016,18,1,7,117,1,2,1,99,45,2,1,1,69,5,9999,2,8,8,10,4,3,6,2016
218,10,2016,18,1,7,117,1,2,1,99,38,9,1,3,14,5,9999,2,6,6,8,4,3,6,2016
219,10,2016,10,1,7,2214,22,2,1,99,35,9,1,4,67,3,1994,4,6,6,8,2,1,3,2016
220,10,2016,20,1,7,2201,22,1,1,99,22,9,1,2,69,4,2012,1,3,3,5,4,3,5,2016
221,10,2016,20,1,7,2201,22,1,2,99,27,9,1,4,18,5,2014,1,4,4,6,4,3,5,2016
