num_corre,ano_ocu,dia_ocu,hora_ocu,g_hora,g_hora_5,mes_ocu,dia_sem_ocu,mupio_ocu,depto_ocu,zona_ocu,sexo_per,edad_per,g_edad_80ymas,g_edad_60ymas,edad_quinquenales,estado_con,mayor_menor,tipo_veh,marca_veh,color_veh,modelo_veh,g_modelo_veh,tipo_eve,anio
9059,2018,23,0,1,1,12,7,1605,16,99,1,27,4,4,6,9,1,12,30,7,1992,3,2,2018
9060,2018,23,11,2,1,12,7,1614,16,99,2,15,2,2,4,9,2,3,69,1,1991,3,1,2018
9061,2018,23,11,2,1,12,7,1614,16,99,1,25,4,4,6,9,1,3,69,6,9999,99,1,2018
9062,2018,23,20,4,3,12,7,704,7,99,1,24,3,3,5,2,1,9,69,2,2008,4,1,2018
9063,2018,23,20,4,3,12,7,704,7,99,1,39,6,6,8,9,1,9,69,4,2012,5,1,2018
9064,2018,23,18,4,3,12,7,1801,18,99,1,35,6,6,8,2,1,4,27,9,9999,99,1,2018
9065,2018,23,18,4,3,12,7,1801,18,99,2,43,7,7,9,9,1,4,35,5,2014,5,1,2018
9066,2018,23,23,4,3,12,7,608,6,99,1,49,8,8,10,9,1,1,21,2,9999,99,1,2018
9067,2018,23,23,4,3,12,7,608,6,99,1,51,9,9,11,9,1,1,28,2,2003,4,1,2018
9068,2018,23,7,2,1,12,7,1102,11,99,1,28,4,4,6,9,1,4,67,1,9999,99,4,2018
9069,2018,23,19,4,3,12,7,1107,11,99,1,47,8,8,10,1,1,3,69,9,9999,99,1,2018
9070,2018,23,19,4,3,12,7,1107,11,99,1,49,8,8,10,2,1,99,27,1,9999,99,1,2018
9071,2018,23,12,3,2,12,7,1701,17,99,1,999,16,12,18,9,1,2,69,2,9999,99,1,2018
9072,2018,23,12,3,2,12,7,1701,17,99,1,50,9,9,11,9,1,4,999,99,9999,99,1,2018
9073,2018,23,23,4,3,12,7,101,1,10,1,40,7,7,9,9,1,4,32,1,9999,99,2,2018
9074,2018,23,20,4,3,12,7,115,1,99,1,32,5,5,7,9,1,1,56,1,2015,5,1,2018
9075,2018,23,20,4,3,12,7,115,1,99,1,43,7,7,9,9,1,12,17,7,2015,5,1,2018
9076,2018,23,15,3,2,12,7,116,1,99,1,999,16,12,18,9,1,4,6,5,2016,5,1,2018
9077,2018,23,15,3,2,12,7,116,1,99,1,999,16,12,18,9,1,4,56,5,9999,99,1,2018
9078,2018,23,15,3,2,12,7,116,1,99,1,45,8,8,10,9,1,1,48,3,9999,99,1,2018
9079,2018,23,15,3,2,12,7,116,1,99,1,45,8,8,10,9,1,4,27,5,9999,99,1,2018
9080,2018,23,10,2,1,12,7,1315,13,99,2,48,8,8,10,9,1,1,28,4,2001,4,7,2018
9081,2018,14,18,4,3,12,5,106,1,99,1,46,8,8,10,1,1,1,56,4,2004,4,1,2018
9082,2018,14,18,4,3,12,5,106,1,99,1,31,5,5,7,1,1,14,2,1,2018,5,1,2018
9083,2018,23,12,3,2,12,7,115,1,99,1,46,8,8,10,9,1,5,26,2,2017,5,1,2018
9084,2018,23,12,3,2,12,7,115,1,99,2,48,8,8,10,9,1,4,35,4,2006,4,1,2018
9085,2018,23,1,1,1,12,7,1903,19,99,1,41,7,7,9,9,1,1,48,3,9999,99,1,2018
9086,2018,23,1,1,1,12,7,1903,19,99,1,37,6,6,8,9,1,4,67,5,9999,99,1,2018
9087,2018,23,13,3,2,12,7,501,5,99,1,20,3,3,5,9,1,4,6,4,2018,5,1,2018
9088,2018,23,13,3,2,12,7,501,5,99,1,50,9,9,11,9,1,4,77,1,2005,4,1,2018
9089,2018,23,7,2,1,12,7,1713,17,99,1,24,3,3,5,9,1,4,41,2,1999,3,1,2018
9090,2018,23,22,4,3,12,7,108,1,99,1,23,3,3,5,9,1,4,3,2,2018,5,4,2018
